Movies Names,Rating out of 10,Count of Ratings,Release Date,Budget,Domestic Gross,Domestic Gross2,Domestic Weekend Gross,Domestic Weekend,Domestic Weekend Gross Date,Worldwide Gross
Up,8.3,1.1M,"September 11, 2009 (India)","$175,000,000 (estimated)",US & Canada,$293004164,US & Canada,$68108790,May 31 2009,"$735,102,136"
To Kill a Mockingbird,8.3,332K,"March 6, 1963 (India)","$2,000,000 (estimated)",US & Canada,$592237,US & Canada,$357549,Mar 24 2019,"$599,146"
The Sting,8.3,279K,"December 25, 1973 (United States)","$5,500,000 (estimated)",US & Canada,$156000000,US & Canada,Not Found,Not Found,"$156,000,000"
Jodaeiye Nader Az Simin,8.3,258K,"October 29, 2012 (India)","$500,000 (estimated)",US & Canada,$7099055,US & Canada,$59481,Jan 1 2012,"$22,926,076"
Indiana Jones and the Last Crusade,8.2,809K,"July 26, 1990 (India)","$48,000,000 (estimated)",US & Canada,$197171806,US & Canada,$29355021,May 28 1989,"$474,171,806"
Die Hard,8.2,942K,"February 14, 2013 (India)","$28,000,000 (estimated)",US & Canada,$85892546,US & Canada,$601851,Jul 17 1988,"$143,651,650"
Metropolis,8.3,185K,"February 6, 1927 (France)","DEM 6,000,000 (estimated)",US & Canada,$1236166,US & Canada,$19386,Jul 14 2002,"$1,349,711"
Taare Zameen Par,8.3,206K,"December 21, 2007 (India)",Not Found,US & Canada,$1223869,US & Canada,$352568,Dec 23 2007,"$21,897,373"
Hamilton,8.3,113K,"July 3, 2020 (India)",Not Found,US & Canada,Not Found,US & Canada,Not Found,Not Found,
Snatch,8.2,907K,"October 31, 2019 (India)","£6,000,000 (estimated)",US & Canada,$30328156,US & Canada,$27932,Dec 10 2000,"$83,557,872"
L.A. Confidential,8.2,616K,"September 19, 1997 (United States)","$35,000,000 (estimated)",US & Canada,$64616940,US & Canada,$5211198,Sep 21 1997,"$126,216,940"
Ladri Di Biciclette,8.3,175K,"November 24, 1948 (Italy)","$133,000 (estimated)",US & Canada,$371111,US & Canada,$25377,Oct 4 1998,"$450,159"
1917,8.2,671K,"January 17, 2020 (India)","$95,000,000 (estimated)",US & Canada,$159227644,US & Canada,$576216,Dec 29 2019,"$384,580,017"
Taxi Driver,8.2,917K,"March 13, 1978 (India)","$1,300,000 (estimated)",US & Canada,$28262574,US & Canada,$116458,Feb 19 1996,"$28,579,560"
Der Untergang,8.2,374K,"July 4, 2006 (India)","€13,500,000 (estimated)",US & Canada,$5509040,US & Canada,$18195,Feb 20 2005,"$92,181,574"
Dangal,8.3,209K,"December 23, 2016 (India)","₹700,000,000 (estimated)",US & Canada,$12391761,US & Canada,$3248481,Dec 25 2016,"$303,723,636"
Per qualche dollaro in più,8.2,274K,"July 1, 2023 (Italy)","$600,000 (estimated)",US & Canada,$15000000,US & Canada,Not Found,Not Found,"$15,000,000"
Batman Begins,8.2,1.6M,"June 17, 2005 (India)","$150,000,000 (estimated)",US & Canada,$206863479,US & Canada,$48745440,Jun 19 2005,"$375,325,692"
The Wolf of Wall Street,8.2,1.6M,"January 3, 2014 (India)","$100,000,000 (estimated)",US & Canada,$116900694,US & Canada,$18361578,Dec 29 2013,"$407,039,432"
Some Like It Hot,8.2,283K,"March 19, 1959 (United States)","$2,883,848 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$200,234"
The Kid,8.2,134K,"October 7, 2015 (India)","$250,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$41,979"
